"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","EMPLOYMENT_CITY",,,"Pct16andOverEmployed",1,8,7,"% pop. 16+ yrs. employed","PROFNUM",0,0,,0,0,0,24,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","EMPLOYMENT_CITY",,,"Pct16andOverEmployed_m",1,8,9,"% pop. 16+ yrs. employed MOE","PROFNUM",0,0,,0,0,0,40,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","EMPLOYMENT_CITY",,,"PctUnemployed",1,8,6,"Unemployment rate (%)","PROFNUM",0,0,,0,0,0,16,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","EMPLOYMENT_CITY",,,"PctUnemployed_m",1,8,8,"Unemployment rate (%) MOE","PROFNUM",0,0,,0,0,0,32,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","EMPLOYMENT_CITY",,,"city",2,1,2,"Washington, D.C.","$CITY",0,0,,0,0,0,71,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CITY",,,"city_nf",2,1,3,,,0,0,,0,0,0,72,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CITY",,,"end_date",1,8,5,,"DATE",9,0,,0,0,1,8,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CITY",,,"indc",1,8,10,,,0,0,,0,0,1,48,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CITY",,,"start_date",1,8,4,,"DATE",9,0,,0,0,1,0,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CITY",,,"timeframe",2,15,1,,,0,0,,0,0,0,56,4,"V9","27JAN21:15:26:57","27JAN21:15:26:57",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

