"timeframe","ward2012","ward2012_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2013-17","Ward 1",1,"01JAN2012","31DEC2016",5.0,74,0.8,1.7,1
"2013-17","Ward 2",2,"01JAN2012","31DEC2016",4.1,71,0.8,1.7,1
"2013-17","Ward 3",3,"01JAN2012","31DEC2016",3.9,69,0.9,1.8,1
"2013-17","Ward 4",4,"01JAN2012","31DEC2016",7.2,64,1.1,1.5,1
"2013-17","Ward 5",5,"01JAN2012","31DEC2016",9.7,58,1.1,1.4,1
"2013-17","Ward 6",6,"01JAN2012","31DEC2016",4.8,74,0.8,1.4,1
"2013-17","Ward 7",7,"01JAN2012","31DEC2016",17,48,1.6,1.6,1
"2013-17","Ward 8",8,"01JAN2012","31DEC2016",20,48,1.8,1.5,1
2000,"Ward 1",1,"01JAN2000","31DEC2000",7.6,63,".",".",1
2000,"Ward 2",2,"01JAN2000","31DEC2000",8.1,67,".",".",1
2000,"Ward 3",3,"01JAN2000","31DEC2000",9.5,66,".",".",1
2000,"Ward 4",4,"01JAN2000","31DEC2000",6.6,56,".",".",1
2000,"Ward 5",5,"01JAN2000","31DEC2000",15,48,".",".",1
2000,"Ward 6",6,"01JAN2000","31DEC2000",9.8,60,".",".",1
2000,"Ward 7",7,"01JAN2000","31DEC2000",14,44,".",".",1
2000,"Ward 8",8,"01JAN2000","31DEC2000",21,45,".",".",1
1990,"Ward 1",1,"01JAN1990","31DEC1990",7.2,64,".",".",1
1990,"Ward 2",2,"01JAN1990","31DEC1990",4.4,69,".",".",1
1990,"Ward 3",3,"01JAN1990","31DEC1990",2.4,69,".",".",1
1990,"Ward 4",4,"01JAN1990","31DEC1990",6.2,63,".",".",1
1990,"Ward 5",5,"01JAN1990","31DEC1990",9.2,53,".",".",1
1990,"Ward 6",6,"01JAN1990","31DEC1990",8.3,65,".",".",1
1990,"Ward 7",7,"01JAN1990","31DEC1990",8.2,54,".",".",1
1990,"Ward 8",8,"01JAN1990","31DEC1990",13,56,".",".",1

