"start_date","end_date","City","timeframe","CITY_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2000","31DEC2000","Washington, D.C.",2000,1,54.9227,15.3865,1
"01JAN2001","31DEC2001","Washington, D.C.",2001,1,56.2984,15.5715,1
"01JAN2002","31DEC2002","Washington, D.C.",2002,1,55.0925,15.5694,1
"01JAN2003","31DEC2003","Washington, D.C.",2003,1,54.5358,16.0235,1
"01JAN2004","31DEC2004","Washington, D.C.",2004,1,47.7887,13.6302,1
"01JAN2005","31DEC2005","Washington, D.C.",2005,1,43.6640,13.8067,1
"01JAN2006","31DEC2006","Washington, D.C.",2006,1,42.0509,13.3066,1
"01JAN2007","31DEC2007","Washington, D.C.",2007,1,45.2799,13.8945,1
"01JAN2008","31DEC2008","Washington, D.C.",2008,1,45.7963,13.2194,1
"01JAN2009","31DEC2009","Washington, D.C.",2009,1,44.1381,12.5493,1
"01JAN2010","31DEC2010","Washington, D.C.",2010,1,40.4954,11.7828,1
"01JAN2011","31DEC2011","Washington, D.C.",2011,1,42.8104,11.5419,1
"01JAN2012","31DEC2012","Washington, D.C.",2012,1,47.2310,11.5302,1
"01JAN2013","31DEC2013","Washington, D.C.",2013,1,48.4077,11.2726,1
"01JAN2014","31DEC2014","Washington, D.C.",2014,1,53.6343,10.2240,1
"01JAN2015","31DEC2015","Washington, D.C.",2015,1,50.3836,10.2672,1
"01JAN2016","31DEC2016","Washington, D.C.",2016,1,48.7716,9.5293,1

