"timeframe","City","city_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2012-16","Washington, D.C.",1,"01JAN2011","31DEC2015",18,26,14,139239,0.6,1.2,1.0,3799,".",".","."
2000,"Washington, D.C.",1,"01JAN2000","31DEC2000",20,32,16,78192,".",".",".",".",".",".","."
1990,"Washington, D.C.",1,"01JAN1990","31DEC1990",17,25,17,53049,".",".",".",".",".",".","."
"2000 to 2012-16","Washington, D.C.",1,"01JAN2000","31DEC2016",".",".",".",".",".",".",".",".",28,".","."
"1990 to 2000","Washington, D.C.",1,"01JAN1990","31DEC2000",".",".",".",".",".",".",".",".",12,".","."
2000,"Washington, D.C.",1,"01JAN2000","31DEC2000",".",".",".",".",".",".",".",".",".",46576,80510
2001,"Washington, D.C.",1,"01JAN2001","31DEC2001",".",".",".",".",".",".",".",".",".",46340,76322
2002,"Washington, D.C.",1,"01JAN2002","31DEC2002",".",".",".",".",".",".",".",".",".",47062,78161
2003,"Washington, D.C.",1,"01JAN2003","31DEC2003",".",".",".",".",".",".",".",".",".",47341,84895
2004,"Washington, D.C.",1,"01JAN2004","31DEC2004",".",".",".",".",".",".",".",".",".",48946,90024
2005,"Washington, D.C.",1,"01JAN2005","31DEC2005",".",".",".",".",".",".",".",".",".",48060,92057
2006,"Washington, D.C.",1,"01JAN2006","31DEC2006",".",".",".",".",".",".",".",".",".",44595,90811
2007,"Washington, D.C.",1,"01JAN2007","31DEC2007",".",".",".",".",".",".",".",".",".",42350,89392
2008,"Washington, D.C.",1,"01JAN2008","31DEC2008",".",".",".",".",".",".",".",".",".",42300,93091
2009,"Washington, D.C.",1,"01JAN2009","31DEC2009",".",".",".",".",".",".",".",".",".",45136,107618
2010,"Washington, D.C.",1,"01JAN2010","31DEC2010",".",".",".",".",".",".",".",".",".",46459,122237
2011,"Washington, D.C.",1,"01JAN2011","31DEC2011",".",".",".",".",".",".",".",".",".",47762,137370
2012,"Washington, D.C.",1,"01JAN2012","31DEC2012",".",".",".",".",".",".",".",".",".",48749,144583
2013,"Washington, D.C.",1,"01JAN2013","31DEC2013",".",".",".",".",".",".",".",".",".",48468,148426
2014,"Washington, D.C.",1,"01JAN2014","31DEC2014",".",".",".",".",".",".",".",".",".",47107,141855
2015,"Washington, D.C.",1,"01JAN2015","31DEC2015",".",".",".",".",".",".",".",".",".",44324,141203

