"timeframe","Geo2010","geo2010_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client","ucounty"
"2012-16","DC Tract 1",11001000100,"01JAN2012","31DEC2016",3.3,0.0,2.3,401114,3.5,7.3,5.3,123212,"X","X","X","District of Columbia"
"2012-16","DC Tract 2.01",11001000201,"01JAN2012","31DEC2016",66,"i",0.0,".",46,".",200,".","X","X","X","District of Columbia"
"2012-16","DC Tract 2.02",11001000202,"01JAN2012","31DEC2016",21,3.2,3.6,275614,9.0,12,4.7,68928,"X","X","X","District of Columbia"
"2012-16","DC Tract 3",11001000300,"01JAN2012","31DEC2016",17,2.5,11,237089,7.8,8.4,11,60958,"X","X","X","District of Columbia"
"2012-16","DC Tract 4",11001000400,"01JAN2012","31DEC2016",10,8.4,2.8,486400,5.1,13,7.4,142495,"X","X","X","District of Columbia"
"2012-16","DC Tract 5.01",11001000501,"01JAN2012","31DEC2016",7.5,17,0.0,226449,5.1,20,6.1,71146,"X","X","X","District of Columbia"
"2012-16","DC Tract 5.02",11001000502,"01JAN2012","31DEC2016",2.2,0.0,3.5,296222,1.3,11,5.0,61305,"X","X","X","District of Columbia"
"2012-16","DC Tract 6",11001000600,"01JAN2012","31DEC2016",5.9,5.2,1.2,348365,2.8,8.0,3.3,73530,"X","X","X","District of Columbia"
"2012-16","DC Tract 7.01",11001000701,"01JAN2012","31DEC2016",12,8.8,7.6,187714,5.3,15,5.1,70509,"X","X","X","District of Columbia"
"2012-16","DC Tract 7.02",11001000702,"01JAN2012","31DEC2016",13,0.0,0.0,117891,7.3,16,7.5,46953,"X","X","X","District of Columbia"
"2012-16","DC Tract 8.01",11001000801,"01JAN2012","31DEC2016",12,2.9,1.3,343984,7.3,5.3,3.1,94478,"X","X","X","District of Columbia"
"2012-16","DC Tract 8.02",11001000802,"01JAN2012","31DEC2016",16,5.5,0.0,262502,5.9,8.6,5.3,79574,"X","X","X","District of Columbia"
"2012-16","DC Tract 9.01",11001000901,"01JAN2012","31DEC2016",9.9,3.9,1.2,439708,4.6,5.7,2.6,82980,"X","X","X","District of Columbia"
"2012-16","DC Tract 9.02",11001000902,"01JAN2012","31DEC2016",2.3,0.9,0.5,407369,1.1,5.8,4.6,126616,"X","X","X","District of Columbia"
"2012-16","DC Tract 10.01",11001001001,"01JAN2012","31DEC2016",4.8,0.0,3.0,221183,2.0,3.0,3.6,30248,"X","X","X","District of Columbia"
"2012-16","DC Tract 10.02",11001001002,"01JAN2012","31DEC2016",27,0.0,8.5,194466,8.2,9.5,16,89200,"X","X","X","District of Columbia"
"2012-16","DC Tract 11",11001001100,"01JAN2012","31DEC2016",4.8,0.0,7.0,290960,3.1,5.8,5.9,55255,"X","X","X","District of Columbia"
"2012-16","DC Tract 12",11001001200,"01JAN2012","31DEC2016",3.6,0.0,3.3,207839,2.0,4.9,5.2,53984,"X","X","X","District of Columbia"
"2012-16","DC Tract 13.01",11001001301,"01JAN2012","31DEC2016",4.6,5.6,0.0,308332,2.8,11,3.9,83707,"X","X","X","District of Columbia"
"2012-16","DC Tract 13.02",11001001302,"01JAN2012","31DEC2016",11,5.7,6.9,207936,4.3,15,8.0,87730,"X","X","X","District of Columbia"
"2012-16","DC Tract 14.01",11001001401,"01JAN2012","31DEC2016",7.9,1.0,6.7,343320,4.4,5.3,7.8,76298,"X","X","X","District of Columbia"
"2012-16","DC Tract 14.02",11001001402,"01JAN2012","31DEC2016",7.5,0.0,9.6,278045,3.9,6.0,7.5,63949,"X","X","X","District of Columbia"
"2012-16","DC Tract 15",11001001500,"01JAN2012","31DEC2016",3.4,2.7,2.1,278973,2.4,4.1,4.1,44092,"X","X","X","District of Columbia"
"2012-16","DC Tract 16",11001001600,"01JAN2012","31DEC2016",4.1,1.0,7.2,228654,2.1,4.5,4.3,34457,"X","X","X","District of Columbia"
"2012-16","DC Tract 17.02",11001001702,"01JAN2012","31DEC2016",5.0,2.7,0.0,170873,3.1,10.0,5.1,59640,"X","X","X","District of Columbia"
"2012-16","DC Tract 18.03",11001001803,"01JAN2012","31DEC2016",18,18,18,80736,7.0,9.6,12,25398,"X","X","X","District of Columbia"
"2012-16","DC Tract 18.04",11001001804,"01JAN2012","31DEC2016",20,30,18,71976,7.4,11,11,20616,"X","X","X","District of Columbia"
