"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","POPULATION_WD12",,,"PctAPINonHispBridge_m",1,8,22,"% Asian/P.I. non-Hispanic MOE","PROFNUM",0,0,,0,0,0,144,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",17
"WORK","POPULATION_WD12",,,"PctAsianPINonHispBridge",1,8,14,"% Asian/P.I. non-Hispanic","PROFNUM",0,0,,0,0,0,80,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",16
"WORK","POPULATION_WD12",,,"PctBlackNonHispBridge",1,8,11,"% black non-Hispanic","PROFNUM",0,0,,0,0,0,56,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",9
"WORK","POPULATION_WD12",,,"PctBlackNonHispBridge_m",1,8,19,"% black non-Hispanic MOE","PROFNUM",0,0,,0,0,0,120,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",10
"WORK","POPULATION_WD12",,,"PctChgPop65andOverYear",1,8,26,"% change senior population","PROFNUM",0,0,,0,0,0,176,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",8
"WORK","POPULATION_WD12",,,"PctChgPopUnder18Years",1,8,25,"% change child population","PROFNUM",0,0,,0,0,0,168,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",5
"WORK","POPULATION_WD12",,,"PctChgTotPop",1,8,24,"% change population","PROFNUM",0,0,,0,0,0,160,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","POPULATION_WD12",,,"PctFamiliesOwnChildFH_m",1,8,23,"% female-headed families with children MOE","PROFNUM",0,0,,0,0,0,152,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",21
"WORK","POPULATION_WD12",,,"PctFamiliesOwnChildrenFH",1,8,15,"% female-headed families with children","PROFNUM",0,0,,0,0,0,88,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",20
"WORK","POPULATION_WD12",,,"PctForeignBorn",1,8,10,"% foreign born","PROFNUM",0,0,,0,0,0,48,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",18
"WORK","POPULATION_WD12",,,"PctForeignBorn_m",1,8,18,"% foreign born MOE","PROFNUM",0,0,,0,0,0,112,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",19
"WORK","POPULATION_WD12",,,"PctHisp",1,8,13,"% Hispanic","PROFNUM",0,0,,0,0,0,72,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",14
"WORK","POPULATION_WD12",,,"PctHisp_m",1,8,21,"% Hispanic MOE","PROFNUM",0,0,,0,0,0,136,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",15
"WORK","POPULATION_WD12",,,"PctPop65andOverYears",1,8,9,"% senior","PROFNUM",0,0,,0,0,0,40,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
"WORK","POPULATION_WD12",,,"PctPop65andOverYears_m",1,8,17,"% senior MOE","PROFNUM",0,0,,0,0,0,104,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",7
"WORK","POPULATION_WD12",,,"PctPopUnder18Years",1,8,8,"% children","PROFNUM",0,0,,0,0,0,32,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","POPULATION_WD12",,,"PctPopUnder18Years_m",1,8,16,"% children MOE","PROFNUM",0,0,,0,0,0,96,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","POPULATION_WD12",,,"PctWhiteNonHispBridge",1,8,12,"% white non-Hispanic","PROFNUM",0,0,,0,0,0,64,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",11
"WORK","POPULATION_WD12",,,"PctWhiteNonHispBridge_m",1,8,20,"% white non-Hispanic MOE","PROFNUM",0,0,,0,0,0,128,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",13
"WORK","POPULATION_WD12",,,"TotPop",1,8,3,"Total Population","PROFNUM",0,0,,0,0,0,0,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","POPULATION_WD12",,,"TotPop_m",1,8,4,"Total Population MOE","PROFNUM",0,0,,0,0,0,8,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",12
"WORK","POPULATION_WD12",,,"Ward2012",2,1,2,"Ward (2012)","$WARD12A",0,0,,0,0,0,207,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","POPULATION_WD12",,,"end_date",1,8,7,,"DATE",9,0,,0,0,1,24,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","POPULATION_WD12",,,"indc",1,8,27,,,0,0,,0,0,1,184,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","POPULATION_WD12",,,"start_date",1,8,6,,"DATE",9,0,,0,0,1,16,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","POPULATION_WD12",,,"timeframe",2,15,1,,,0,0,,0,0,0,192,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","POPULATION_WD12",,,"ward2012_nf",2,1,5,,,0,0,,0,0,0,208,48,"V9","21MAR18:21:06:29","21MAR18:21:06:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

