"timeframe","Cluster_tr2000","TotPop","cluster_tr2000_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2012-16","Cluster 1",19713.00,01,"01JAN2011","31DEC2015",7.8831,9.9934,20.3368,8.7201,70.6234,12.2559,5.9250,7.2895,1.23611,1.27074,2.43614,1.65641,2.83253,1.82985,1.35780,7.1120,".",".",".",1
"2012-16","Cluster 2",53012.00,02,"01JAN2011","31DEC2015",15.1645,7.4040,24.1492,33.6678,35.0317,24.3794,4.6103,46.4047,1.28537,0.74201,1.80470,1.79139,1.42016,2.35535,0.83983,5.5370,".",".",".",1
"2012-16","Cluster 3",14192.00,03,"01JAN2011","31DEC2015",8.8571,7.1731,15.7483,33.6739,49.8309,9.2517,3.2201,31.1573,1.66710,1.55446,2.37475,3.76110,3.07226,2.59692,0.96763,13.3116,".",".",".",1
"2012-16","Cluster 4",19294.00,04,"01JAN2011","31DEC2015",10.4851,9.8321,18.0937,5.6702,76.4331,7.6086,7.4738,12.6231,1.67870,1.23749,2.52112,2.50658,1.60809,1.69658,1.57331,8.8803,".",".",".",1
"2012-16","Cluster 5",16127.60,05,"01JAN2011","31DEC2015",2.3744,9.4940,23.6415,8.5317,65.7109,9.8263,11.0695,20.6379,1.22388,1.88109,3.15599,2.11749,3.37369,1.89249,1.76697,37.7117,".",".",".",1
"2012-16","Cluster 6",17294.17,06,"01JAN2011","31DEC2015",4.5348,8.1121,18.4093,4.7973,75.3250,8.6957,7.5492,23.1171,1.42151,1.37800,2.70905,1.43854,2.27642,1.71937,1.44788,21.7985,".",".",".",1
"2012-16","Cluster 7",26333.00,07,"01JAN2011","31DEC2015",8.8482,6.2811,20.2370,23.4421,48.1031,16.6749,7.7811,29.3899,1.48832,1.00760,2.62460,2.31273,1.80012,3.45197,1.40960,8.6144,".",".",".",1
"2012-16","Cluster 8",15221.28,08,"01JAN2011","31DEC2015",10.9149,8.8729,17.0053,35.1827,42.6807,7.8305,11.3041,66.0381,2.58140,1.41067,2.21283,4.09410,2.00372,1.95546,1.78592,13.4596,".",".",".",1
"2012-16","Cluster 9",12187.00,09,"01JAN2011","31DEC2015",10.3471,16.3863,11.2579,43.2428,43.0623,5.5141,5.0464,53.5445,1.94488,2.26079,2.97965,3.75828,3.20534,1.79267,2.01827,9.7445,".",".",".",1
"2012-16","Cluster 10",12856.91,10,"01JAN2011","31DEC2015",25.8440,20.0425,13.0267,10.1105,74.1483,7.6062,4.1296,7.9721,2.44996,2.11192,3.04233,2.95434,1.93576,2.74885,1.30917,3.8123,".",".",".",1
