"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","CONNECTION_CNTY",,,"PctBroadband",1,8,8,"% HHs with broadband internet subscription","PROFNUM",0,0,,0,0,0,32,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",5
"WORK","CONNECTION_CNTY",,,"PctBroadband_m",1,8,14,"% HHs with broadband internet subscription MOE","PROFNUM",0,0,,0,0,0,80,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
"WORK","CONNECTION_CNTY",,,"PctHshldCar",1,8,7,"% HHs with a car","PROFNUM",0,0,,0,0,0,24,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","CONNECTION_CNTY",,,"PctHshldCar_m",1,8,13,"% HHs with a car MOE","PROFNUM",0,0,,0,0,0,72,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","CONNECTION_CNTY",,,"PctHshldPhone",1,8,6,"% HHs with a phone","PROFNUM",0,0,,0,0,0,16,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","CONNECTION_CNTY",,,"PctHshldPhone_m",1,8,12,"% HHs with a phone MOE","PROFNUM",0,0,,0,0,0,64,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","CONNECTION_CNTY",,,"PctNocomputer",1,8,9,"% HHs with no computing devices",,0,0,,0,0,1,40,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",7
"WORK","CONNECTION_CNTY",,,"Pctcellularonly",1,8,10,"% HHs with cell data plan but no other internet","PROFNUM",0,0,,0,0,0,48,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",9
"WORK","CONNECTION_CNTY",,,"Pctcellularonly_m",1,8,16,"% HHs with cell data plan but no other internet MOE","PROFNUM",0,0,,0,0,0,96,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",10
"WORK","CONNECTION_CNTY",,,"Pctcomputer",1,8,18,"% HHs with computing devices","PROFNUM",0,0,,0,0,0,112,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CNTY",,,"Pctcomputer_m",1,8,20,"% HHs with computing devices MOE","PROFNUM",0,0,,0,0,0,128,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CNTY",,,"Pctinternet",1,8,19,"% HHs with internet access","PROFNUM",0,0,,0,0,0,120,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CNTY",,,"Pctinternet_m",1,8,21,"% HHs with internet access MOE","PROFNUM",0,0,,0,0,0,136,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CNTY",,,"Pctnocomputer_m",1,8,15,"% HHs with no computing devices MOE",,0,0,,0,0,1,88,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CNTY",,,"Pctnointernet",1,8,11,"% HHs with no internet access",,0,0,,0,0,1,56,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",11
"WORK","CONNECTION_CNTY",,,"Pctnointernet_m",1,8,17,"% HHs with no internet access MOE",,0,0,,0,0,1,104,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",12
"WORK","CONNECTION_CNTY",,,"county",2,5,2,"Regional county (2017)","$CNTY15F",0,0,,0,0,0,159,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CNTY",,,"county_nf",2,5,3,,,0,0,,0,0,0,164,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CNTY",,,"end_date",1,8,5,,"DATE",9,0,,0,0,1,8,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CNTY",,,"start_date",1,8,4,,"DATE",9,0,,0,0,1,0,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CNTY",,,"timeframe",2,15,1,,,0,0,,0,0,0,144,72,"V9","27JAN21:15:29:09","27JAN21:15:29:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

