"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","EDUCATION_WD12",,,"Pct25andOverWoutHS",1,8,6,"% persons without HS diploma",,0,0,,0,0,1,16,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","EDUCATION_WD12",,,"Pct25andOverWoutHS_m",1,8,7,"% persons without HS diploma MOE",,0,0,,0,0,1,24,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","EDUCATION_WD12",,,"Ward2012",2,1,2,"Ward (2012)","$WARD12A",0,0,,0,0,0,95,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_WD12",,,"aud",1,8,8,"Total school enrollment",,0,0,,0,0,1,32,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","EDUCATION_WD12",,,"aud_charter",1,8,9,"Charter school enrollment",,0,0,,0,0,1,40,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","EDUCATION_WD12",,,"aud_dcps",1,8,10,"DCPS school enrollment",,0,0,,0,0,1,48,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",5
"WORK","EDUCATION_WD12",,,"charter_present",1,8,11,"Number of charter schools",,0,0,,0,0,1,56,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",7
"WORK","EDUCATION_WD12",,,"dcps_present",1,8,12,"Number of DCPS schools",,0,0,,0,0,1,64,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",8
"WORK","EDUCATION_WD12",,,"end_date",1,8,5,"End Date","DATE",9,0,,0,0,1,8,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_WD12",,,"school_present",1,8,13,"Number of schools",,0,0,,0,0,1,72,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
"WORK","EDUCATION_WD12",,,"start_date",1,8,4,"Start Date","DATE",9,0,,0,0,1,0,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_WD12",,,"timeframe",2,15,1,"Year of Data",,0,0,,0,0,0,80,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_WD12",,,"ward2012_nf",2,1,3,"Unformatted geography",,0,0,,0,0,0,96,128,"V9","07MAR18:09:10:29","07MAR18:09:10:29",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

